 1. CUNI x-ling (Praha)                     	software1-P	 6.13
  2. Uppsala (Uppsala)                       	software1-P	 5.16
  3. LATTICE (Paris)                         	software1-P	 4.38
  4. CEA LIST (Paris)                        	software1-P	 3.75
