  1. LATTICE (Paris)                         	software1-P	21.09
  2. SLT-Interactions (Bengaluru)            	software2-P	20.17
  3. NLP-Cube (București)                    	software1-P	17.36
  4. HIT-SCIR (Harbin)                       	software1-P	16.35
  5. BOUN (İstanbul)                         	software2-P	15.67
  6. AntNLP (Shanghai)                       	software1-P	15.51
  7. KParse (İstanbul)                       	software1-P	15.39
  8. Fudan (Shanghai)                        	software5-P	15.16
  9. ParisNLP (Paris)                        	software1-P	15.06
 10. CUNI x-ling (Praha)                     	software1-P	14.64
