  1. IBM NY (Yorktown Heights)               	software1-P	30.41
  2. Uppsala (Uppsala)                       	software1-P	29.54
  3. UDPipe Future (Praha)                   	software1-P	29.09
  4. LATTICE (Paris)                         	software1-P	27.94
  5. HIT-SCIR (Harbin)                       	software1-P	26.26
  6. ONLP lab (Ra'anana)                     	software3-P	25.10
  7. NLP-Cube (București)                    	software1-P	24.18
  8. CUNI x-ling (Praha)                     	software1-P	24.03
